File Name,File Path,Sheets
CCC Fanta Superiority Testing NL Regular P320572 Final Rawdata.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Europe HI (Laura Valenta da Silva)\CCC Fanta Superiority Testing NL Regular P320572 Final Rawdata.xlsb,"['Raw Data', 'Decoder', 'Additional MSE data']"
CCC Fanta Superiority Testing NL Zero P320571 Final Rawdata.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Europe HI (Laura Valenta da Silva)\CCC Fanta Superiority Testing NL Zero P320571 Final Rawdata.xlsb,"['Raw Data', 'Decoder', 'Additional MSE data']"
CCC Fanta Superiority Testing NO Zero P320571 Final Rawdata.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Europe HI (Laura Valenta da Silva)\CCC Fanta Superiority Testing NO Zero P320571 Final Rawdata.xlsb,"['Raw Data', 'Decoder', 'Additional MSE data']"
CCC Fanta Superiority Testing SWE Regular P320571 Final Rawdata.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Europe HI (Laura Valenta da Silva)\CCC Fanta Superiority Testing SWE Regular P320571 Final Rawdata.xlsb,"['Raw Data', 'Decoder', 'Additional MSE data']"
P320120 CCC Aquarius Orange Spain - MSE Data v2.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Europe HI (Laura Valenta da Silva)\P320120 CCC Aquarius Orange Spain - MSE Data v2.xlsb,"['Raw Data', 'Decoder', 'Additional MSE data']"
P320121 CCC RTD Tea prototype testing MSE Data FINAL V2.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Europe HI (Laura Valenta da Silva)\P320121 CCC RTD Tea prototype testing MSE Data FINAL V2.xlsb,"['Raw Data', 'Decoder', 'Additional MSE data']"
P320121 CCC RTD Tea prototype testing MSE Raw Data 10102023.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Europe HI (Laura Valenta da Silva)\P320121 CCC RTD Tea prototype testing MSE Raw Data 10102023.xlsb,"['Raw Data', 'Decoder', 'Additional MSE data']"
P321288 CCC Fanta Prototype Screening Romania (HUT) - Full Data File with Key FINAL.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Europe HI (Laura Valenta da Silva)\P321288 CCC Fanta Prototype Screening Romania (HUT) - Full Data File with Key FINAL.xlsb,"['Raw Data', 'Consumer Info', 'Category Frequency', 'Sample Rotation Achieved', 'Tests Missed', 'Key_Decoder', 'Additional data for NDB']"
P321288 CCC Fanta Reg prototype testing GB - Full Data File with Key v3.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Europe HI (Laura Valenta da Silva)\P321288 CCC Fanta Reg prototype testing GB - Full Data File with Key v3.xlsb,"['Raw Data', 'Consumer Info', 'Category Frequency', 'Sample Rotation Achieved', 'Tests Missed', 'Key_Decoder', 'Additional data for NDB']"
P322130 CCC Fanta Reg prototype testing GB - Full Data File with Key v2.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Europe HI (Laura Valenta da Silva)\P322130 CCC Fanta Reg prototype testing GB - Full Data File with Key v2.xlsb,"['Raw Data', 'Consumer Info', 'Category Frequency', 'Sample Rotation Achieved', 'Tests Missed', 'Key_Decoder', 'Additional data for NDB']"
P322130 CCC Fanta Reg prototype testing GB MSE Data FINAL.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Europe HI (Laura Valenta da Silva)\P322130 CCC Fanta Reg prototype testing GB MSE Data FINAL.xlsb,"['Raw Data', 'Decoder', 'Additional MSE data']"
P322442 CCC Fanta Zero prototype testing Romania (CLT) - Full Data File with Key FINAL v2 WITH ALLOCATIONS FINAL.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Europe HI (Laura Valenta da Silva)\P322442 CCC Fanta Zero prototype testing Romania (CLT) - Full Data File with Key FINAL v2 WITH ALLOCATIONS FINAL.xlsb,"['Raw Data', 'Consumer Info', 'Category Frequency', 'Sample Rotation Achieved', 'Tests Missed', 'Key_Decoder', 'Additional data for NDB']"
08_DATA_Cleaned_AG_Fanta_Regular V02.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_AG_Fanta_Regular V02.xlsx,N/A
08_DATA_Cleaned_AG_Sprite_Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_AG_Sprite_Regular.xlsx,N/A
08_DATA_Cleaned_ARG_Fanta_Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_ARG_Fanta_Zero.xlsx,N/A
