filename,status
C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\MSE Data Fanta Productivity Reformulation France May_Jun_24.xlsb,OK
C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\MSE Data Fanta Productivity Reformulation Greece May_24.xlsb,OK
C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\P318455 CCC Fanta Aquarius Prototype Screener FRANCE Full Data File with Key.xlsb,Not OK - Worksheet named 'Additional MSE data' not found
C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\P323934 CCC Fanta Prototype Screening Germany 2024 - Full Data File with Key FINAL v3.xlsb,Not OK - Worksheet named 'Additional MSE data' not found
C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\P325206 TCCC Lemon Fanta reformulation testing Europe - Full Data File with Key - Final.xlsb,Not OK - Worksheet named 'Additional MSE data' not found
C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\P326208 CCC Fanta Orange Regular testing EU 2024 BELGIUM - Full Data File with Key v2.xlsb,Not OK - Worksheet named 'Additional MSE data' not found
C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\P326208 CCC Fanta Orange Regular testing EU 2024 NETHERLANDS - Full Data File with Key FINAL.xlsb,Not OK - Worksheet named 'Additional MSE data' not found
C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\P326208 CCC Fanta Orange Regular testing EU 2024 NETHERLANDS - Full Data File with Key.xlsb,Not OK - Worksheet named 'Additional MSE data' not found
C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\P326208 CCC Fanta Orange Regular testing EU 2024 POLAND - Full Data File with Key FINAL.xlsb,Not OK - Worksheet named 'Additional MSE data' not found
C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\P326208 CCC Fanta Orange Regular testing EU 2024 ROMANIA - Full Data File with Key FINAL.xlsb,Not OK - Worksheet named 'Additional MSE data' not found
C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\P327010 CCC Fanta Lemon Testing FR - Full Data File with Key.xlsb,Not OK - Worksheet named 'Additional MSE data' not found
C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\P327011 CCC Fanta Lemon Testing SP - Full Data File with Key.xlsb,Not OK - Worksheet named 'Additional MSE data' not found
